x	node_chr	next_x	next_node_chr	fam	color	group	new_fam
IUIS Genes	3-72	Functional Groups	G1	F1	1	F1-G1	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-73	Functional Groups	G2	F1	2	F1-G2	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-49	Functional Groups	G3	F1	3	F1-G3	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-15	Functional Groups	G4	F1	4	F1-G4	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-11	Functional Groups	G10	F2	10	F2-G10	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-21	Functional Groups	G11	F2	11	F2-G11	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-48	Functional Groups	G12	F2	12	F2-G12	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-35	Functional Groups	G13	F2	13	F2-G13	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-30-3	Functional Groups	G14	F2	14	F2-G14	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-30	Functional Groups	G14	F2	14	F2-G14	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-33	Functional Groups	G14	F2	14	F2-G14	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-64	Functional Groups	G15	F2	15	F2-G15	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-64D	Functional Groups	G15	F2	15	F2-G15	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-74	Functional Groups	G16	F2	16	F2-G16	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-66	Functional Groups	G17	F2	17	F2-G17	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-53	Functional Groups	G17	F2	17	F2-G17	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-23	Functional Groups	G18	F2	18	F2-G18	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-23D	Functional Groups	G18	F2	18	F2-G18	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-43D	Functional Groups	G5	F2	5	F2-G5	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-43	Functional Groups	G5	F2	5	F2-G5	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-20	Functional Groups	G6	F2	6	F2-G6	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-9	Functional Groups	G7	F2	7	F2-G7	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-13	Functional Groups	G8	F2	8	F2-G8	IGHVS1(F1,F2,F3,F4)
IUIS Genes	3-7	Functional Groups	G9	F2	9	F2-G9	IGHVS1(F1,F2,F3,F4)
