alleles	n_subject	group
IGHVF1-G1*01	141	IGHVF1-G1
IGHVF1-G2*01	88	IGHVF1-G2
IGHVF1-G2*02	109	IGHVF1-G2
IGHVF1-G3*01	0	IGHVF1-G3
IGHVF1-G3*02	0	IGHVF1-G3
IGHVF1-G3*03	88	IGHVF1-G3
IGHVF1-G3*04	90	IGHVF1-G3
IGHVF1-G3*05	57	IGHVF1-G3
IGHVF1-G4*01	32	IGHVF1-G4
IGHVF1-G4*02	0	IGHVF1-G4
IGHVF1-G4*03	0	IGHVF1-G4
IGHVF1-G4*04	0	IGHVF1-G4
IGHVF1-G4*05	0	IGHVF1-G4
IGHVF1-G4*06	139	IGHVF1-G4
IGHVF1-G4*07	2	IGHVF1-G4
IGHVF1-G4*08	0	IGHVF1-G4
IGHVF1-G4*09	0	IGHVF1-G4
IGHVF2-G10*01	106	IGHVF2-G10
IGHVF2-G10*02	5	IGHVF2-G10
IGHVF2-G10*03	89	IGHVF2-G10
IGHVF2-G10*04	0	IGHVF2-G10
IGHVF2-G10*05	25	IGHVF2-G10
IGHVF2-G11*01	3	IGHVF2-G11
IGHVF2-G11*02	0	IGHVF2-G11
IGHVF2-G11*03	1	IGHVF2-G11
IGHVF2-G11*04	0	IGHVF2-G11
IGHVF2-G11*05	0	IGHVF2-G11
IGHVF2-G11*06	142	IGHVF2-G11
IGHVF2-G11*07	0	IGHVF2-G11
IGHVF2-G12*01	50	IGHVF2-G12
IGHVF2-G12*02	23	IGHVF2-G12
IGHVF2-G12*03	73	IGHVF2-G12
IGHVF2-G12*04	94	IGHVF2-G12
IGHVF2-G13*01	0	IGHVF2-G13
IGHVF2-G14*01	2	IGHVF2-G14
IGHVF2-G14*02	1	IGHVF2-G14
IGHVF2-G14*03	0	IGHVF2-G14
IGHVF2-G14*04	0	IGHVF2-G14
IGHVF2-G14*05	0	IGHVF2-G14
IGHVF2-G14*06	99	IGHVF2-G14
IGHVF2-G14*07	30	IGHVF2-G14
IGHVF2-G14*08	0	IGHVF2-G14
IGHVF2-G14*09	0	IGHVF2-G14
IGHVF2-G14*10	0	IGHVF2-G14
IGHVF2-G14*11	1	IGHVF2-G14
IGHVF2-G14*12	0	IGHVF2-G14
IGHVF2-G14*13	17	IGHVF2-G14
IGHVF2-G14*14	0	IGHVF2-G14
IGHVF2-G14*15	4	IGHVF2-G14
IGHVF2-G14*16	0	IGHVF2-G14
IGHVF2-G14*17	0	IGHVF2-G14
IGHVF2-G14*18	0	IGHVF2-G14
IGHVF2-G14*19	82	IGHVF2-G14
IGHVF2-G14*20	135	IGHVF2-G14
IGHVF2-G14*21	0	IGHVF2-G14
IGHVF2-G14*22	0	IGHVF2-G14
IGHVF2-G14*23	0	IGHVF2-G14
IGHVF2-G14*24	5	IGHVF2-G14
IGHVF2-G14*25	2	IGHVF2-G14
IGHVF2-G14*26	14	IGHVF2-G14
IGHVF2-G14*27	0	IGHVF2-G14
IGHVF2-G14*28	0	IGHVF2-G14
IGHVF2-G14*29	0	IGHVF2-G14
IGHVF2-G14*30	7	IGHVF2-G14
IGHVF2-G14*31	0	IGHVF2-G14
IGHVF2-G14*32	130	IGHVF2-G14
IGHVF2-G14*33	0	IGHVF2-G14
IGHVF2-G15*01	80	IGHVF2-G15
IGHVF2-G15*02	93	IGHVF2-G15
IGHVF2-G15*03	0	IGHVF2-G15
IGHVF2-G15*04	0	IGHVF2-G15
IGHVF2-G15*05	78	IGHVF2-G15
IGHVF2-G15*06	14	IGHVF2-G15
IGHVF2-G15*07	26	IGHVF2-G15
IGHVF2-G15*08	0	IGHVF2-G15
IGHVF2-G15*09	0	IGHVF2-G15
IGHVF2-G16*01	0	IGHVF2-G16
IGHVF2-G16*02	142	IGHVF2-G16
IGHVF2-G16*03	0	IGHVF2-G16
IGHVF2-G17*01	68	IGHVF2-G17
IGHVF2-G17*02	37	IGHVF2-G17
IGHVF2-G17*03	1	IGHVF2-G17
IGHVF2-G17*04	0	IGHVF2-G17
IGHVF2-G17*05	0	IGHVF2-G17
IGHVF2-G17*06	1	IGHVF2-G17
IGHVF2-G17*07	97	IGHVF2-G17
IGHVF2-G17*08	73	IGHVF2-G17
IGHVF2-G17*09	55	IGHVF2-G17
IGHVF2-G17*10	37	IGHVF2-G17
IGHVF2-G18*01	0	IGHVF2-G18
IGHVF2-G18*02	25	IGHVF2-G18
IGHVF2-G18*03	2	IGHVF2-G18
IGHVF2-G18*04	140	IGHVF2-G18
IGHVF2-G18*05	0	IGHVF2-G18
IGHVF2-G18*06	0	IGHVF2-G18
IGHVF2-G5*01	5	IGHVF2-G5
IGHVF2-G5*02	31	IGHVF2-G5
IGHVF2-G5*03	27	IGHVF2-G5
IGHVF2-G5*04	132	IGHVF2-G5
IGHVF2-G5*05	18	IGHVF2-G5
IGHVF2-G6*01	108	IGHVF2-G6
IGHVF2-G6*02	57	IGHVF2-G6
IGHVF2-G7*01	2	IGHVF2-G7
IGHVF2-G7*02	5	IGHVF2-G7
IGHVF2-G7*03	106	IGHVF2-G7
IGHVF2-G7*04	0	IGHVF2-G7
IGHVF2-G8*01	0	IGHVF2-G8
IGHVF2-G8*02	0	IGHVF2-G8
IGHVF2-G8*03	20	IGHVF2-G8
IGHVF2-G8*04	70	IGHVF2-G8
IGHVF2-G8*05	105	IGHVF2-G8
IGHVF2-G8*06	25	IGHVF2-G8
IGHVF2-G9*01	35	IGHVF2-G9
IGHVF2-G9*02	108	IGHVF2-G9
IGHVF2-G9*03	0	IGHVF2-G9
IGHVF2-G9*04	72	IGHVF2-G9
IGHVF2-G9*05	21	IGHVF2-G9
IGHVF3-G19*01	0	IGHVF3-G19
IGHVF3-G19*02	0	IGHVF3-G19
IGHVF3-G19*03	25	IGHVF3-G19
IGHVF3-G19*04	89	IGHVF3-G19
IGHVF3-G20*01	0	IGHVF3-G20
IGHVF3-G20*02	0	IGHVF3-G20
IGHVF3-G20*03	0	IGHVF3-G20
IGHVF3-G20*04	0	IGHVF3-G20
IGHVF3-G20*05	131	IGHVF3-G20
IGHVF3-G20*06	56	IGHVF3-G20
IGHVF4-G21*01	92	IGHVF4-G21
IGHVF4-G21*02	39	IGHVF4-G21
IGHVF4-G21*03	0	IGHVF4-G21
IGHVF4-G21*04	0	IGHVF4-G21
IGHVF5-G22*01	142	IGHVF5-G22
IGHVF5-G23*01	75	IGHVF5-G23
IGHVF5-G24*01	0	IGHVF5-G24
IGHVF5-G24*02	110	IGHVF5-G24
IGHVF5-G24*03	95	IGHVF5-G24
IGHVF5-G25*01	6	IGHVF5-G25
IGHVF5-G25*02	0	IGHVF5-G25
IGHVF5-G25*03	112	IGHVF5-G25
IGHVF5-G26*01	55	IGHVF5-G26
IGHVF5-G26*02	0	IGHVF5-G26
IGHVF5-G26*03	2	IGHVF5-G26
IGHVF5-G26*04	6	IGHVF5-G26
IGHVF5-G26*05	4	IGHVF5-G26
IGHVF5-G26*06	8	IGHVF5-G26
IGHVF5-G26*07	43	IGHVF5-G26
IGHVF5-G26*08	1	IGHVF5-G26
IGHVF5-G26*09	7	IGHVF5-G26
IGHVF5-G26*10	66	IGHVF5-G26
IGHVF5-G26*11	1	IGHVF5-G26
IGHVF5-G26*12	1	IGHVF5-G26
IGHVF5-G26*13	0	IGHVF5-G26
IGHVF5-G26*14	2	IGHVF5-G26
IGHVF5-G26*15	110	IGHVF5-G26
IGHVF5-G26*16	0	IGHVF5-G26
IGHVF5-G26*17	0	IGHVF5-G26
IGHVF5-G26*18	0	IGHVF5-G26
IGHVF5-G26*19	3	IGHVF5-G26
IGHVF5-G26*20	0	IGHVF5-G26
IGHVF5-G26*21	0	IGHVF5-G26
IGHVF5-G26*22	0	IGHVF5-G26
IGHVF5-G27*01	5	IGHVF5-G27
IGHVF5-G27*02	107	IGHVF5-G27
IGHVF5-G27*03	0	IGHVF5-G27
IGHVF5-G28*01	5	IGHVF5-G28
IGHVF5-G28*02	65	IGHVF5-G28
IGHVF5-G28*03	132	IGHVF5-G28
IGHVF5-G28*04	0	IGHVF5-G28
IGHVF5-G29*01	1	IGHVF5-G29
IGHVF5-G29*02	101	IGHVF5-G29
IGHVF5-G29*03	88	IGHVF5-G29
IGHVF5-G29*04	0	IGHVF5-G29
IGHVF5-G29*05	0	IGHVF5-G29
IGHVF5-G29*06	11	IGHVF5-G29
IGHVF5-G29*07	28	IGHVF5-G29
IGHVF5-G30*01	60	IGHVF5-G30
IGHVF5-G30*02	131	IGHVF5-G30
IGHVF5-G30*03	1	IGHVF5-G30
IGHVF5-G31*01	4	IGHVF5-G31
IGHVF5-G31*02	115	IGHVF5-G31
IGHVF5-G31*03	0	IGHVF5-G31
IGHVF5-G31*04	46	IGHVF5-G31
IGHVF5-G31*05	0	IGHVF5-G31
IGHVF6-G32*01	5	IGHVF6-G32
IGHVF6-G32*02	0	IGHVF6-G32
IGHVF6-G32*03	142	IGHVF6-G32
IGHVF6-G32*04	2	IGHVF6-G32
IGHVF6-G33*01	0	IGHVF6-G33
IGHVF6-G33*02	84	IGHVF6-G33
IGHVF6-G33*03	125	IGHVF6-G33
IGHVF6-G33*04	0	IGHVF6-G33
IGHVF6-G33*05	0	IGHVF6-G33
IGHVF6-G33*06	0	IGHVF6-G33
IGHVF6-G34*01	0	IGHVF6-G34
IGHVF6-G34*02	0	IGHVF6-G34
IGHVF6-G34*03	0	IGHVF6-G34
IGHVF6-G34*04	0	IGHVF6-G34
IGHVF6-G34*05	2	IGHVF6-G34
IGHVF6-G34*06	1	IGHVF6-G34
IGHVF6-G34*07	71	IGHVF6-G34
IGHVF6-G34*08	109	IGHVF6-G34
IGHVF6-G34*09	0	IGHVF6-G34
IGHVF6-G34*10	0	IGHVF6-G34
IGHVF6-G34*11	76	IGHVF6-G34
IGHVF6-G34*12	0	IGHVF6-G34
IGHVF6-G34*13	0	IGHVF6-G34
IGHVF6-G34*14	0	IGHVF6-G34
IGHVF7-G35*01	0	IGHVF7-G35
IGHVF7-G35*02	142	IGHVF7-G35
IGHVF7-G35*03	5	IGHVF7-G35
IGHVF8-G36*01	0	IGHVF8-G36
IGHVF8-G36*02	0	IGHVF8-G36
IGHVF8-G36*03	70	IGHVF8-G36
IGHVF8-G36*04	3	IGHVF8-G36
IGHVF8-G36*05	1	IGHVF8-G36
IGHVF8-G36*06	0	IGHVF8-G36
IGHVF8-G36*07	0	IGHVF8-G36
IGHVF8-G36*08	0	IGHVF8-G36
IGHVF8-G36*09	142	IGHVF8-G36
IGHVF8-G36*10	1	IGHVF8-G36
IGHVF8-G37*01	0	IGHVF8-G37
IGHVF8-G37*02	85	IGHVF8-G37
IGHVF8-G37*03	2	IGHVF8-G37
IGHVF8-G38*01	0	IGHVF8-G38
IGHVF8-G38*02	0	IGHVF8-G38
IGHVF8-G39*01	0	IGHVF8-G39
IGHVF8-G39*02	0	IGHVF8-G39
IGHVF8-G39*03	142	IGHVF8-G39
IGHVF8-G39*04	0	IGHVF8-G39
IGHVF8-G39*05	0	IGHVF8-G39
IGHVF8-G39*06	0	IGHVF8-G39
IGHVF8-G40*01	2	IGHVF8-G40
IGHVF8-G40*02	0	IGHVF8-G40
IGHVF8-G40*03	116	IGHVF8-G40
IGHVF8-G40*04	3	IGHVF8-G40
IGHVF8-G41*01	5	IGHVF8-G41
IGHVF8-G41*02	0	IGHVF8-G41
IGHVF8-G41*03	0	IGHVF8-G41
IGHVF8-G41*04	10	IGHVF8-G41
IGHVF8-G41*05	7	IGHVF8-G41
IGHVF8-G41*06	92	IGHVF8-G41
IGHVF8-G41*07	0	IGHVF8-G41
IGHVF8-G42*01	0	IGHVF8-G42
IGHVF8-G42*02	12	IGHVF8-G42
IGHVF8-G42*03	0	IGHVF8-G42
IGHVF8-G42*04	0	IGHVF8-G42
IGHVF8-G42*05	1	IGHVF8-G42
IGHVF8-G42*06	113	IGHVF8-G42
IGHVF8-G42*07	10	IGHVF8-G42
IGHVF8-G43*01	0	IGHVF8-G43
IGHVF8-G43*02	2	IGHVF8-G43
IGHVF8-G43*03	93	IGHVF8-G43
IGHVF8-G43*04	1	IGHVF8-G43
IGHVF8-G44*01	0	IGHVF8-G44
IGHVF8-G44*02	1	IGHVF8-G44
IGHVF8-G44*03	1	IGHVF8-G44
IGHVF8-G44*04	0	IGHVF8-G44
IGHVF8-G44*05	17	IGHVF8-G44
IGHVF8-G44*06	122	IGHVF8-G44
IGHVF8-G45*01	2	IGHVF8-G45
IGHVF8-G45*02	32	IGHVF8-G45
IGHVF8-G45*03	30	IGHVF8-G45
IGHVF8-G45*04	1	IGHVF8-G45
IGHVF8-G45*05	0	IGHVF8-G45
IGHVF8-G45*06	1	IGHVF8-G45
IGHVF8-G45*07	130	IGHVF8-G45
IGHVF8-G45*08	11	IGHVF8-G45
