thresh	gene_clust	iuis_asc
0	1	0
5	1	0
10	1	0
15	1	0
20	1	0
25	1	0
30	1	0
35	1	0
40	1	0
45	1	0
50	1	0
55	1	0
60	1	0
65	0.8	0
70	0.8333333333333334	0
75	0.75	0
80	0.7777777777777778	0
85	0.625	0
90	0.4827586206896552	0.018518518518518517
91	0.5	0.018518518518518517
92	0.48484848484848486	0.018518518518518517
93	0.35	0.05555555555555555
94	0.27906976744186046	0.05555555555555555
95	0.2391304347826087	0.07407407407407407
96	0.21153846153846154	0.18518518518518517
97	0.16666666666666666	0.2962962962962963
98	0.10843373493975904	0.48148148148148145
99	0.051470588235294115	0.6851851851851852
100	0.02158273381294964	0.8888888888888888
